Average size,Src Port,Dst Port,Protocol,Time,Category
64,65138,5355,0,0.0,Network
84,58583,5355,0,0.5,Network
64,58583,5355,0,0.0,Network
84,56193,5355,0,39.0,Network
64,56193,5355,0,0.5,Network
64,57240,5355,0,0.0,Network
84,57240,5355,0,0.0,Network
84,62975,5355,0,7.5,Network
64,62975,5355,0,0.5,Network
150,546,547,0,56.43,Network
64,50490,5355,0,8.0,Network
64,52864,5355,0,0.0,Network
64,61740,5355,0,25.5,Network
64,57792,5355,0,0.5,Network
64,53298,5355,0,55.5,Network
64,62349,5355,0,0.5,Network
150,546,547,0,72.21,Network
64,65089,5355,0,102.5,Network
64,52770,5355,0,0.0,Network
149,546,547,0,90.19,Network
64,51868,5355,0,29.5,Network
64,59770,5355,0,0.0,Network
84,49229,5355,0,0.0,Network
64,49229,5355,0,0.5,Network
84,52434,5355,0,80.0,Network
64,52434,5355,0,0.0,Network
64,57308,5355,0,4.0,Network
64,61495,5355,0,0.5,Network
225,40815,138,0,38.35,System
64,56441,5355,0,49.25,Network
64,58255,5355,0,0.0,Network
84,58099,5355,0,0.0,Network
64,58099,5355,0,0.0,Network
84,61528,5355,0,29.0,Network
64,61528,5355,0,0.0,Network
64,55059,5355,0,0.0,Network
84,55059,5355,0,0.0,Network
84,60674,5355,0,1.5,Network
64,60674,5355,0,0.0,Network
243,138,138,0,35.0,System
84,52595,5355,0,7.5,Network
64,52595,5355,0,0.0,Network
64,57731,5355,0,0.0,Network
84,57731,5355,0,0.0,Network
84,50719,5355,0,0.5,Network
64,50719,5355,0,0.0,Network
84,55672,5355,0,21.5,Network
64,55672,5355,0,0.5,Network
92,137,137,0,61.5,System
84,51847,5355,0,0.0,Network
64,51847,5355,0,0.5,Network
84,60675,5355,0,24.0,Network
64,60675,5355,0,0.5,Network
64,56085,5355,0,0.0,Network
84,56085,5355,0,0.0,Network
84,63935,5355,0,38.5,Network
64,63935,5355,0,0.0,Network
84,53513,5355,0,0.0,Network
64,53513,5355,0,0.0,Network
64,62547,5355,0,0.0,Network
84,62547,5355,0,43.0,Network
64,53200,5355,0,160.5,Network
64,51730,5355,0,0.0,Network
84,51298,5355,0,83.0,Network
64,51298,5355,0,0.0,Network
84,60366,5355,0,0.0,Network
64,60366,5355,0,0.0,Network
64,52055,5355,0,0.0,Network
84,52055,5355,0,0.5,Network
64,63354,5355,0,0.0,Network
